pairwise uncorrected distance between sequences
specimen1	specimen10	specimen11	specimen12	specimen13	specimen14	specimen15	specimen16	specimen17	specimen18	specimen19	specimen2	specimen20	specimen21	specimen22	specimen23	specimen24	specimen25	specimen26	specimen27	specimen28	specimen29	specimen3	specimen30	specimen31	specimen32	specimen33	specimen34	specimen35	specimen36	specimen37	specimen38	specimen39	specimen4	specimen40	specimen41	specimen42	specimen43	specimen44	specimen45	specimen46	specimen47	specimen48	specimen49	specimen5	specimen50	specimen6	specimen7	specimen8	specimen9
specimen1		0.2617	0.2467	0.2523	0.2467	0.2617	0.2617	0.2598	0.2617	0.2449	0.2505	0.2243	0.2579	0.2561	0.2486	0.2486	0.2486	0.2449	0.2449	0.2598	0.2505	0.2446	0.2075	0.2446	0.2297	0.2045	0.2495	0.2299	0.2414	0.2243	0.2434	0.2133	0	0.2336	0.2243	0.2075	0.2336	0.2312	0.2155	0.2596	0.2571	0.2561	0.2617	0.2467	0.2312	0.2523	0.2155	0.2596	0.2571	0.2561
specimen10	0.2617		0.04433	0.04433	0.04926	0	0	0.003284	0	0.04433	0.04598	0.2579	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.009852	0.04433	0.2328	0.2411	0.2328	0.2622	0.2308	0.2552	0.2804	0.2556	0.2374	0.236	0.2402	0.2617	0.271	0.2579	0.2411	0.271	0.2637	0.2796	0.2434	0.251	0.0509	0	0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen11	0.2467	0.04433		0.009709	0.01478	0.04433	0.04433	0.04433	0.04433	0.003284	0.01133	0.2467	0.01456	0.01294	0.003236	0.009709	0.01133	0.004854	0.003236	0.04693	0.006472	0.2435	0.2449	0.2435	0.2529	0.2251	0.2552	0.2748	0.2454	0.2243	0.2397	0.234	0.2467	0.2579	0.2467	0.2449	0.2579	0.2718	0.2757	0.2515	0.2389	0.02627	0.04433	0	0.2718	0.009709	0.2757	0.2515	0.2389	0.02627
specimen12	0.2523	0.04433	0.009709		0.01149	0.04433	0.04433	0.04433	0.04433	0.009852	0.004854	0.2523	0.01133	0.009709	0.006472	0.006472	0.004854	0.01133	0.009709	0.04369	0.009709	0.2392	0.2411	0.2392	0.2599	0.227	0.2552	0.271	0.2475	0.2262	0.2378	0.2319	0.2523	0.2542	0.2523	0.2411	0.2542	0.2677	0.2796	0.2495	0.2348	0.0197	0.04433	0.009709	0.2677	0	0.2796	0.2495	0.2348	0.0197
specimen13	0.2467	0.04926	0.01478	0.01149		0.04926	0.04926	0.04926	0.04926	0.01478	0.01314	0.2486	0.01314	0.01149	0.01149	0.01149	0.01314	0.01642	0.01478	0.05255	0.01478	0.2392	0.2467	0.2392	0.2552	0.2289	0.2571	0.2692	0.2495	0.2243	0.236	0.234	0.2467	0.2561	0.2486	0.2467	0.2561	0.2657	0.2796	0.2515	0.2348	0.02791	0.04926	0.01478	0.2657	0.01149	0.2796	0.2515	0.2348	0.02791
specimen14	0.2617	0	0.04433	0.04433	0.04926		0	0.003284	0	0.04433	0.04598	0.2579	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.009852	0.04433	0.2328	0.2411	0.2328	0.2622	0.2308	0.2552	0.2804	0.2556	0.2374	0.236	0.2402	0.2617	0.271	0.2579	0.2411	0.271	0.2637	0.2796	0.2434	0.251	0.0509	0	0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen15	0.2617	0	0.04433	0.04433	0.04926	0		0.003284	0	0.04433	0.04598	0.2579	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.009852	0.04433	0.2328	0.2411	0.2328	0.2622	0.2308	0.2552	0.2804	0.2556	0.2374	0.236	0.2402	0.2617	0.271	0.2579	0.2411	0.271	0.2637	0.2796	0.2434	0.251	0.0509	0	0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen16	0.2598	0.003284	0.04433	0.04433	0.04926	0.003284	0.003284		0.003284	0.04433	0.04598	0.2561	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.01314	0.04433	0.2328	0.2393	0.2328	0.2622	0.2289	0.2533	0.2785	0.2556	0.2355	0.2341	0.2402	0.2598	0.2692	0.2561	0.2393	0.2692	0.2637	0.2796	0.2434	0.251	0.0509	0.003284	0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen17	0.2617	0	0.04433	0.04433	0.04926	0	0	0.003284		0.04433	0.04598	0.2579	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.009852	0.04433	0.2328	0.2411	0.2328	0.2622	0.2308	0.2552	0.2804	0.2556	0.2374	0.236	0.2402	0.2617	0.271	0.2579	0.2411	0.271	0.2637	0.2796	0.2434	0.251	0.0509	0	0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen18	0.2449	0.04433	0.003284	0.009852	0.01478	0.04433	0.04433	0.04433	0.04433		0.01149	0.2486	0.01478	0.01314	0.003284	0.009852	0.01149	0.001642	0	0.04762	0.006568	0.2414	0.243	0.2414	0.2552	0.2233	0.2571	0.2748	0.2454	0.2224	0.2397	0.236	0.2449	0.2561	0.2486	0.243	0.2561	0.2738	0.2738	0.2495	0.2368	0.02627	0.04433	0.003284	0.2738	0.009852	0.2738	0.2495	0.2368	0.02627
